,Annualized Return,Annualized Volatility,Maximum Drawdown,Sharpe Ratio
100/0,0.10967540157089384,0.14860160273578799,-0.5078482106457121,0.6629235550846782
80/20,0.0966764979046435,0.11971656351413434,-0.40473768411613475,0.690594423914814
60/40,0.08189406329416382,0.1005294218837282,-0.28452610216102936,0.6646920480013992
50/50,0.07386660318794291,0.0965137446006697,-0.2680716031738165,0.6102818768969495
40/60,0.06543227178173905,0.09697816037424867,-0.294488463053878,0.5258565990971218
