Regime,Months,Annualized Average Return,Annualized Volatility,Negative Month Share
Negative correlation,173,0.08509316346978119,0.09642394120688484,0.3236994219653179
Positive correlation,50,0.08371963392941878,0.13670646696064748,0.36
