Crisis,SPY Total Return,TLT Total Return,60/40 Total Return,60/40 Volatility,60/40 Maximum Drawdown,Stock–Bond Correlation
2008 Financial Crisis,-0.367949670985806,0.339517210178613,-0.1335615004560542,0.14702923399850085,-0.1955316216541947,-0.01312903207303429
2020 COVID Crisis,0.18331648727881067,0.18152192866907657,0.19801370986251698,0.1397652633288795,-0.06937204469201674,-0.4314606153409333
2022 Inflation Shock,-0.18175361295122938,-0.3123455926505586,-0.2330695443907025,0.17867808401173413,-0.26211948486781944,0.5111892597700703
